Disease,Medication
Malaria,"[""Artemisinin-based combination therapies (ACTs)"", ""Chloroquine or Artemether-Lumefantrine"", ""Antipyretics (Paracetamol)""]"
Chicken pox,"[""Antiviral therapy (Acyclovir) if high risk"", ""Calamine lotion"", ""Antihistamines for itching"", ""Paracetamol for fever (Avoid Aspirin)""]"
Dengue,"[""Paracetamol for fever/pain relief"", ""IV fluids for severe cases"", ""Platelet transfusion if indicated""]"
Typhoid,"[""Antibiotics (Ceftriaxone, Azithromycin, Ciprofloxacin)"", ""Antipyretics for fever""]"
hepatitis A,"[""Supportive care and hydration"", ""Antiemetics if needed"", ""Liver support therapy""]"
Hepatitis B,"[""Antiviral medications (Tenofovir, Entecavir)"", ""Pegylated interferon""]"
Hepatitis C,"[""Direct-acting antivirals (Sofosbuvir, Velpatasvir, Glecaprevir)""]"
Hepatitis D,"[""Pegylated interferon alfa"", ""Bulevirtide (where approved)"", ""Supportive liver therapies""]"
Hepatitis E,"[""Supportive clinical care"", ""Ribavirin in select chronic immunocompromised cases""]"
Alcoholic hepatitis,"[""Corticosteroids (Prednisolone) in severe cases"", ""Nutritional supplements and Thiamine (Vitamin B1)"", ""Pentoxifylline""]"
Tuberculosis,"[""First-line quadruple therapy: Isoniazid, Rifampicin, Pyrazinamide, Ethambutol"", ""Pyridoxine (Vitamin B6)""]"
Common Cold,"[""Decongestants (Pseudoephedrine)"", ""Saline nasal rinse"", ""Paracetamol or Ibuprofen"", ""Throat lozenges""]"
Pneumonia,"[""Antibiotics (Amoxicillin-clavulanate, Azithromycin, Levofloxacin)"", ""Bronchodilators"", ""Antipyretics""]"
Dimorphic hemmorhoids(piles),"[""Topical hydrocortisone / lidocaine creams"", ""Stool softeners (Docusate sodium)"", ""Fiber supplements (Psyllium husk)""]"
Heart attack,"[""Emergency hospital reperfusion (Angioplasty/Stenting)"", ""Antiplatelets (Aspirin, Clopidogrel)"", ""Beta-blockers, ACE inhibitors, Statins""]"
Varicose veins,"[""Flavonoid venoactive agents"", ""Topical soothing gels"", ""Sclerotherapy / laser ablation if advised by vascular surgeon""]"
Hypothyroidism,"[""Levothyroxine (Synthroid / Eltroxin)""]"
Hyperthyroidism,"[""Antithyroid drugs (Methimazole, Propylthiouracil)"", ""Beta-blockers (Propranolol) for palpitations""]"
Hypoglycemia,"[""Oral glucose tablets / gels"", ""Glucagon emergency kit (nasal Baqsimi or injectable)""]"
Osteoarthritis,"[""Topical NSAIDs (Diclofenac gel)"", ""Oral analgesics (Acetaminophen, Celecoxib)"", ""Intra-articular hyaluronic acid / corticosteroid injections""]"
Arthritis,"[""DMARDs (Methotrexate, Leflunomide)"", ""Biologics (TNF inhibitors)"", ""NSAIDs for symptom relief""]"
(vertigo) Paroymsal  Positional Vertigo,"[""Vestibular suppressants for acute symptoms (Betahistine, Meclizine)"", ""Antiemetics""]"
Acne,"[""Topical retinoids (Adapalene, Tretinoin)"", ""Benzoyl Peroxide"", ""Topical/Oral antibiotics (Clindamycin, Doxycycline)"", ""Isotretinoin for severe cystic acne""]"
Urinary tract infection,"[""Antibiotics (Nitrofurantoin, Fosfomycin, Trimethoprim-sulfamethoxazole)"", ""Urinary analgesic (Phenazopyridine)""]"
Psoriasis,"[""Topical corticosteroids and Vitamin D analogues"", ""Calcineurin inhibitors"", ""Biologics (IL-17 / IL-23 inhibitors)"", ""Methotrexate""]"
Impetigo,"[""Topical Mupirocin or Retapamulin ointment"", ""Oral antibiotics (Cephalexin, Augmentin) for widespread lesions""]"
